,name,IoU Metric
0,IMG_01871,0.9757492893894146
1,IMG_00361,0.9884711512895507
2,IMG_02429,0.9840473599763938
3,IMG_00139,0.9810541226465207
4,IMG_01144,0.9872274895827042
5,IMG_01172,0.9659970822578835
6,IMG_01720,0.9872715832524972
7,IMG_01814,0.9909988921713442
8,IMG_02279,0.3340689829119112
9,IMG_01279,0.9834232233502538
10,IMG_01251,0.9854219231847491
11,IMG_01269,0.9768121997075413
12,IMG_01810,0.9868486135761878
13,IMG_00856,0.4294374624078002
14,IMG_02301,0.9810988724499772
15,IMG_01843,0.989734667246629
16,IMG_01282,0.9900626191124422
17,IMG_01101,0.9661690179427476
18,IMG_00095,0.9809708737864078
19,IMG_00461,0.9850634473034896
20,IMG_00343,0.9878583405725369
21,IMG_01614,0.9812127236580517
22,IMG_00519,0.9892154290212543
23,IMG_00091,0.9918002810232326
24,IMG_01586,0.9824324696423162
25,IMG_01909,0.9913031661910585
26,IMG_01245,0.9871467347916334
27,IMG_00880,0.0
28,IMG_02391,0.9896120188482957
29,IMG_00799,0.5081241123655008
30,IMG_02308,0.9869388208812128
31,IMG_01201,0.9838034068695894
32,IMG_01448,0.21225183404484602
33,IMG_02483,0.9858916243865924
34,IMG_00026,0.988840445957844
35,IMG_00607,0.15429512227867243
36,IMG_01006,0.31850409037787303
37,IMG_00833,0.5177887029841672
38,IMG_00367,0.9862205503860622
39,IMG_02396,0.38656245302870884
40,IMG_00792,0.4020607335921344
41,IMG_02312,0.9858322668373061
42,IMG_00815,0.4620136840316926
43,IMG_02146,0.9862252119478776
44,IMG_01193,0.9897174906522642
45,IMG_00440,0.5364288131291769
46,IMG_01204,0.9872477578475336
47,IMG_01222,0.9816877637130802
48,IMG_01750,0.9927607199576496
49,IMG_01740,0.9893198122876099
50,IMG_02135,0.57952930026852
51,IMG_00752,0.25643197458973
52,IMG_00555,0.9907095947461156
53,IMG_00616,0.4825915834090221
54,IMG_00554,0.9882734581209325
55,IMG_00072,0.34601080829798364
56,IMG_01662,0.99094388187083
57,IMG_00426,0.9857829177626574
58,IMG_01487,0.9858220074953719
59,IMG_01346,0.09715994020926756
60,IMG_00644,0.39452735657235505
61,IMG_00725,0.19481075788636293
62,IMG_01227,0.9857514200442862
63,IMG_01759,0.9865521931315879
64,IMG_00956,0.0071149950613563695
65,IMG_02171,0.4309308308561831
66,IMG_00758,0.3197722472219671
67,IMG_02248,0.9850478468899522
68,IMG_01833,0.9869732920715008
69,IMG_00143,0.9789686867113258
70,IMG_01933,0.9846888607950555
71,IMG_01606,0.9872411072994441
72,IMG_01451,0.0
73,IMG_00525,0.9884090385817189
74,IMG_00855,0.5261715363084605
75,IMG_02486,0.9826239139946247
76,IMG_00920,0.052607606467774994
77,IMG_00470,0.9947901369565905
78,IMG_00142,0.06859802780670056
79,IMG_01283,0.9735745899505337
80,IMG_01622,0.9891917197581876
81,IMG_00978,0.0
82,IMG_01580,0.1273300983745658
83,IMG_01003,0.21447682196242657
84,IMG_00479,0.24730409777138748
85,IMG_01291,0.0025613660618996796
86,IMG_02392,0.9877927362451842
87,IMG_01894,0.989825119236884
